EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,199,0.0%, 5, 1, 1, 2171838,38.25, 6.32,40.00,0.300, 20000, 4.83, 0.00, 0.00, 683, 683,   0
  1, 5,182,0.5%, 5, 1, 1, 1809964,34.72, 5.85,32.00,0.320, 20000, 5.80, 0.00, 0.00, 683, 596,  87
  1, 5,169,1.0%, 5, 1, 1, 1594522,31.80, 5.72,24.00,0.314, 20000, 6.59, 0.00, 0.00, 683, 523, 160
  1, 5,146,1.5%, 5, 1, 1, 1266852,27.45, 4.93,13.00,0.334, 20000, 8.29, 0.00, 0.00, 683, 459, 224
  1, 5,139,2.0%, 5, 1, 1, 1286986,25.83, 4.38,15.00,0.356, 20000, 8.16, 0.00, 0.00, 683, 409, 274
  1, 5,142,2.5%, 5, 1, 1, 1415648,27.25, 4.50,15.00,0.350, 20000, 7.42, 0.00, 0.00, 683, 357, 326
  1, 5,112,3.0%, 5, 1, 1, 1174965,21.40, 3.67,14.00,0.366, 20000, 8.94, 0.00, 0.00, 683, 300, 383
  1, 5,105,3.5%, 5, 1, 1,  893847,19.80, 3.40, 9.00,0.395, 20000,11.75, 0.00, 0.00, 683, 253, 430
  1, 5,117,4.0%, 5, 1, 1, 1173050,22.52, 3.83, 7.00,0.391, 20000, 8.95, 0.00, 0.00, 683, 218, 465
  1, 5,125,4.5%, 5, 1, 1, 1302198,24.40, 4.18, 6.00,0.388, 20000, 8.06, 0.00, 0.00, 683, 171, 512
  1, 5,106,5.0%, 5, 1, 1, 1174797,20.48, 3.45, 6.00,0.382, 20000, 8.94, 0.00, 0.00, 683, 119, 564
  1, 5, 96,5.5%, 5, 1, 1,  730360,18.25, 3.47, 2.00,0.401, 20000,14.38, 0.00, 0.00, 683,  72, 611
  1, 5,100,6.0%, 5, 1, 1, 1180422,19.73, 3.30, 6.00,0.382, 20000, 8.90, 0.00, 0.00, 683,  42, 641
  1, 5,106,6.5%, 5, 1, 1, 1135495,20.55, 3.55, 7.00,0.366, 20000, 9.25, 0.00, 0.00, 683,  -5, 688
  1, 5,107,7.0%, 5, 1, 1,  877101,20.90, 4.00, 6.00,0.397, 20000,11.97, 0.00, 0.00, 683, -50, 733
  1, 5, 84,7.5%, 5, 1, 1,  906445,16.65, 2.95, 1.00,0.423, 20000,11.58, 0.00, 0.00, 683, -86, 769
  1, 5, 75,8.0%, 5, 1, 1,  793730,14.88, 2.53, 3.00,0.427, 20000,13.23, 0.00, 0.00, 683,-122, 805
  1, 5, 71,8.5%, 5, 1, 1,  445422,12.98, 2.28, 1.00,0.423, 20000,23.57, 0.00, 0.00, 683,-154, 837
  1, 5, 75,9.0%, 5, 1, 1,  528522,14.48, 2.80, 1.00,0.437, 20000,19.87, 0.00, 0.00, 683,-172, 855
  1, 5, 76,9.5%, 5, 1, 1,  553634,15.27, 3.15, 0.00,0.438, 20000,18.97, 0.00, 0.00, 683,-193, 876
  1, 5, 76,10.0%, 5, 1, 1,  539845,15.50, 3.22, 1.00,0.431, 20000,19.45, 0.00, 0.00, 683,-215, 898
  1, 5, 65,10.5%, 5, 1, 1,  459692,12.73, 2.53, 1.00,0.438, 20000,22.84, 0.00, 0.00, 683,-237, 920
