EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 3, 45,0.0%, 3, 0, 1, 1005039,15.55, 2.55,11.00,0.600, 20000,10.25, 0.00, 0.00,  57,  57,   0
  1, 3, 50,0.5%, 3, 0, 1, 1063900,17.55, 2.85,14.00,0.560, 20000, 9.68, 0.00, 0.00,  57,  37,  20
  1, 3, 53,1.0%, 3, 0, 1, 1173312,18.70, 3.05,15.00,0.547, 20000, 8.78, 0.00, 0.00,  57,  15,  42
  1, 3, 48,1.5%, 3, 0, 1, 1010543,16.70, 2.80,13.00,0.573, 20000,10.19, 0.00, 0.00,  57,  -8,  65
  1, 3, 46,2.0%, 3, 0, 1,  856610,15.80, 2.70, 9.00,0.620, 20000,12.02, 0.00, 0.00,  57, -29,  86
  1, 3, 41,2.5%, 3, 0, 1,  690535,14.00, 2.45, 7.00,0.659, 20000,14.92, 0.00, 0.00,  57, -46, 103
  1, 3, 40,3.0%, 3, 0, 1,  664134,13.50, 2.25, 7.00,0.663, 20000,15.51, 0.00, 0.00,  57, -60, 117
  1, 3, 36,3.5%, 3, 0, 1,  518166,12.15, 2.35, 5.00,0.708, 20000,19.88, 0.00, 0.00,  57, -73, 130
  1, 3, 39,4.0%, 3, 0, 1,  716583,13.45, 2.30, 6.00,0.679, 20000,14.37, 0.00, 0.00,  57, -83, 140
  1, 3, 44,4.5%, 3, 0, 1,  905509,16.00, 3.00, 8.00,0.636, 20000,11.37, 0.00, 0.00,  57, -98, 155
  1, 3, 44,5.0%, 3, 0, 1,  922834,15.90, 2.85,11.00,0.602, 20000,11.16, 0.00, 0.00,  57,-116, 173
  1, 3, 39,5.5%, 3, 0, 1,  698711,13.25, 2.40, 8.00,0.654, 20000,14.74, 0.00, 0.00,  57,-134, 191
  1, 3, 38,6.0%, 3, 0, 1,  681564,13.45, 2.45, 6.00,0.684, 20000,15.11, 0.00, 0.00,  57,-148, 205
  1, 3, 37,6.5%, 3, 0, 1,  595900,12.80, 2.35, 6.00,0.689, 20000,17.28, 0.00, 0.00,  57,-162, 219
  1, 3, 40,7.0%, 3, 0, 1,  729386,14.40, 2.50, 7.00,0.663, 20000,14.12, 0.00, 0.00,  57,-174, 231
  1, 3, 33,7.5%, 3, 0, 1,  644033,12.15, 2.25, 4.00,0.742, 20000,15.99, 0.00, 0.00,  57,-189, 246
  1, 3, 34,8.0%, 3, 0, 1,  553196,11.65, 2.25, 5.00,0.721, 20000,18.62, 0.00, 0.00,  57,-202, 259
  1, 3, 32,8.5%, 3, 0, 1,  521199,11.60, 2.40, 4.00,0.750, 20000,19.76, 0.00, 0.00,  57,-213, 270
  1, 3, 40,9.0%, 3, 0, 1,  681686,13.85, 2.60, 6.00,0.675, 20000,15.11, 0.00, 0.00,  57,-223, 280
  1, 3, 44,9.5%, 3, 0, 1, 1247229,16.45, 2.85, 8.00,0.636, 20000, 8.26, 0.00, 0.00,  57,-237, 294
  1, 3, 37,10.0%, 3, 0, 1,  665736,13.35, 2.30, 5.00,0.703, 20000,15.47, 0.00, 0.00,  57,-262, 319
  1, 3, 36,10.5%, 3, 0, 1,  619977,12.65, 2.30, 5.00,0.708, 20000,16.61, 0.00, 0.00,  57,-275, 332
  1, 3, 32,11.0%, 3, 0, 1,  440847,10.70, 1.85, 2.00,0.781, 20000,23.36, 0.00, 0.00,  57,-288, 345
  1, 3, 37,11.5%, 3, 0, 1, 1096808,13.85, 2.30, 3.00,0.730, 20000, 9.39, 0.00, 0.00,  57,-296, 353
  1, 3, 37,12.0%, 3, 0, 1,  649738,13.05, 2.15, 5.00,0.703, 20000,15.85, 0.00, 0.00,  57,-318, 375
  1, 3, 30,12.5%, 3, 0, 1,  510163,11.20, 1.85, 3.00,0.783, 20000,20.19, 0.00, 0.00,  57,-332, 389
  1, 3, 32,13.0%, 3, 0, 1,  386267,11.05, 2.05, 0.00,0.812, 20000,26.67, 0.00, 0.00,  57,-342, 399
  1, 3, 39,13.5%, 3, 0, 1, 1220837,15.10, 2.55, 5.00,0.692, 20000, 8.44, 0.00, 0.00,  57,-350, 407
  1, 3, 33,14.0%, 3, 0, 1,  596550,12.45, 2.65, 2.00,0.773, 20000,17.27, 0.00, 0.00,  57,-374, 431
  1, 3, 36,14.5%, 3, 0, 1,  615123,12.70, 2.60, 3.00,0.736, 20000,16.74, 0.00, 0.00,  57,-386, 443
  1, 3, 33,15.0%, 3, 0, 1,  468685,11.50, 2.15, 2.00,0.773, 20000,21.98, 0.00, 0.00,  57,-398, 455
  1, 3, 32,15.5%, 3, 0, 1, 1081549,12.30, 2.00, 3.00,0.766, 20000, 9.52, 0.00, 0.00,  57,-408, 465
