EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,169,0.0%, 5, 1, 2, 1733246,31.25, 5.12,30.00,0.281, 20000, 6.06, 0.00, 0.00, 363, 362,   1
  1, 5,134,0.5%, 5, 1, 2, 1085455,23.83, 4.12,15.00,0.353, 20000, 9.67, 0.00, 0.00, 363, 293,  70
  1, 5,128,1.0%, 5, 1, 2, 1038624,22.52, 3.90, 8.00,0.387, 20000,10.11, 0.00, 0.00, 363, 250, 113
  1, 5,131,1.5%, 5, 1, 2, 1274464,23.38, 4.20,12.00,0.332, 20000, 8.24, 0.00, 0.00, 363, 208, 155
  1, 5,117,2.0%, 5, 1, 2,  890610,20.55, 3.70, 7.00,0.353, 20000,11.79, 0.00, 0.00, 363, 157, 206
  1, 5,107,2.5%, 5, 1, 2, 1176991,19.95, 3.47, 6.00,0.369, 20000, 8.92, 0.00, 0.00, 363, 121, 242
  1, 5,104,3.0%, 5, 1, 2,  655511,18.10, 3.20, 2.00,0.425, 20000,16.02, 0.00, 0.00, 363,  74, 289
  1, 5, 95,3.5%, 5, 1, 2,  658919,17.30, 3.12, 3.00,0.408, 20000,15.94, 0.00, 0.00, 363,  48, 315
  1, 5, 99,4.0%, 5, 1, 2,  697342,17.88, 3.38, 2.00,0.402, 20000,15.06, 0.00, 0.00, 363,  21, 342
  1, 5, 97,4.5%, 5, 1, 2,  702848,18.25, 3.58, 3.00,0.418, 20000,14.94, 0.00, 0.00, 363,  -7, 370
  1, 5, 89,5.0%, 5, 1, 2,  598327,16.17, 3.42, 2.00,0.413, 20000,17.55, 0.00, 0.00, 363, -35, 398
  1, 5, 99,5.5%, 5, 1, 2,  996344,18.73, 3.55, 0.00,0.412, 20000,10.54, 0.00, 0.00, 363, -59, 422
  1, 5, 92,6.0%, 5, 1, 2, 1115882,18.20, 3.15, 3.00,0.413, 20000, 9.41, 0.00, 0.00, 363, -99, 462
  1, 5, 76,6.5%, 5, 1, 2,  509846,14.18, 2.62, 0.00,0.431, 20000,20.59, 0.00, 0.00, 363,-143, 506
  1, 5, 82,7.0%, 5, 1, 2, 1050004,16.42, 2.83, 1.00,0.424, 20000,10.00, 0.00, 0.00, 363,-164, 527
  1, 5, 78,7.5%, 5, 1, 2,  510657,15.07, 3.03, 0.00,0.468, 20000,20.56, 0.00, 0.00, 363,-206, 569
  1, 5, 70,8.0%, 5, 1, 2, 1077210,15.02, 2.62, 2.00,0.511, 20000, 9.75, 0.00, 0.00, 363,-226, 589
  1, 5, 91,8.5%, 5, 1, 2,  619591,16.67, 3.35, 0.00,0.431, 20000,16.95, 0.00, 0.00, 363,-269, 632
  1, 5, 74,9.0%, 5, 1, 2,  976761,15.23, 2.70, 1.00,0.463, 20000,10.75, 0.00, 0.00, 363,-294, 657
  1, 5, 75,9.5%, 5, 1, 2,  566416,14.95, 3.00, 4.00,0.473, 20000,18.54, 0.00, 0.00, 363,-333, 696
  1, 5, 70,10.0%, 5, 1, 2,  954868,14.50, 2.47, 2.00,0.468, 20000,11.00, 0.00, 0.00, 363,-356, 719
  1, 5, 67,10.5%, 5, 1, 2,  423002,12.70, 2.30, 0.00,0.474, 20000,24.82, 0.00, 0.00, 363,-394, 757
  1, 5, 73,11.0%, 5, 1, 2, 1027685,14.55, 2.35, 1.00,0.452, 20000,10.22, 0.00, 0.00, 363,-411, 774
  1, 5, 85,11.5%, 5, 1, 2,  607639,15.88, 3.08, 2.00,0.418, 20000,17.28, 0.00, 0.00, 363,-452, 815
  1, 5, 74,12.0%, 5, 1, 2,  976473,14.90, 2.55, 1.00,0.459, 20000,10.75, 0.00, 0.00, 363,-477, 840
  1, 5, 58,12.5%, 5, 1, 2,  333719,10.98, 2.22, 0.00,0.478, 20000,31.46, 0.00, 0.00, 363,-516, 879
  1, 5, 65,13.0%, 5, 1, 2, 1010249,14.18, 2.42, 0.00,0.473, 20000,10.39, 0.00, 0.00, 363,-529, 892
