EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,145,0.0%, 5, 1, 2, 1290512,26.30, 4.70,17.00,0.353, 20000, 8.14, 0.00, 0.00, 458, 458,   0
  1, 5,116,0.5%, 5, 1, 2,  868223,20.42, 3.53,11.00,0.388, 20000,12.09, 0.00, 0.00, 458, 407,  51
  1, 5,104,1.0%, 5, 1, 2,  671992,18.23, 3.25, 5.00,0.452, 20000,15.63, 0.00, 0.00, 458, 372,  86
  1, 5, 98,1.5%, 5, 1, 2,  594392,16.88, 3.35, 3.00,0.418, 20000,17.67, 0.00, 0.00, 458, 345, 113
  1, 5,123,2.0%, 5, 1, 2, 1146810,22.42, 4.00, 5.00,0.417, 20000, 9.16, 0.00, 0.00, 458, 321, 137
  1, 5,100,2.5%, 5, 1, 2,  680554,17.88, 3.33, 4.00,0.445, 20000,15.43, 0.00, 0.00, 458, 275, 183
  1, 5, 96,3.0%, 5, 1, 2, 1041870,17.90, 3.05, 4.00,0.474, 20000,10.08, 0.00, 0.00, 458, 248, 210
  1, 5,103,3.5%, 5, 1, 2, 1149534,19.25, 3.40, 3.00,0.432, 20000, 9.13, 0.00, 0.00, 458, 206, 252
  1, 5, 87,4.0%, 5, 1, 2,  481349,14.93, 3.10, 0.00,0.437, 20000,21.81, 0.00, 0.00, 458, 160, 298
  1, 5, 96,4.5%, 5, 1, 2, 1261875,18.80, 3.17, 4.00,0.430, 20000, 8.32, 0.00, 0.00, 458, 141, 317
  1, 5, 91,5.0%, 5, 1, 2, 1093481,17.98, 3.05, 1.00,0.497, 20000, 9.60, 0.00, 0.00, 458,  90, 368
  1, 5, 73,5.5%, 5, 1, 2,  406069,13.57, 2.67, 0.00,0.507, 20000,25.86, 0.00, 0.00, 458,  47, 411
  1, 5, 73,6.0%, 5, 1, 2,  924430,14.57, 2.55, 1.00,0.483, 20000,11.36, 0.00, 0.00, 458,  30, 428
  1, 5, 98,6.5%, 5, 1, 2,  693327,18.25, 3.35, 4.00,0.462, 20000,15.14, 0.00, 0.00, 458,  -7, 465
  1, 5, 95,7.0%, 5, 1, 2,  596573,17.85, 3.22, 1.00,0.518, 20000,17.60, 0.00, 0.00, 458, -35, 493
  1, 5, 80,7.5%, 5, 1, 2,  531543,15.32, 2.70, 1.00,0.522, 20000,19.75, 0.00, 0.00, 458, -59, 517
  1, 5, 73,8.0%, 5, 1, 2,  491954,14.15, 2.53, 1.00,0.514, 20000,21.34, 0.00, 0.00, 458, -80, 538
  1, 5, 93,8.5%, 5, 1, 2,  665426,17.62, 3.38, 1.00,0.476, 20000,15.78, 0.00, 0.00, 458,-100, 558
  1, 5, 78,9.0%, 5, 1, 2,  461801,14.93, 2.90, 1.00,0.510, 20000,22.74, 0.00, 0.00, 458,-126, 584
  1, 5, 76,9.5%, 5, 1, 2,  520342,15.12, 2.88, 0.00,0.549, 20000,20.18, 0.00, 0.00, 458,-145, 603
  1, 5, 70,10.0%, 5, 1, 2,  744430,13.27, 2.65, 0.00,0.500, 20000,14.10, 0.00, 0.00, 458,-166, 624
  1, 5, 67,10.5%, 5, 1, 2,  436978,13.55, 2.60, 0.00,0.567, 20000,24.03, 0.00, 0.00, 458,-195, 653
  1, 5, 79,11.0%, 5, 1, 2, 1123443,17.33, 3.25, 1.00,0.544, 20000, 9.35, 0.00, 0.00, 458,-213, 671
  1, 5, 68,11.5%, 5, 1, 2,  414098,13.20, 2.50, 0.00,0.500, 20000,25.36, 0.00, 0.00, 458,-258, 716
  1, 5, 73,12.0%, 5, 1, 2, 1045017,15.30, 2.83, 1.00,0.473, 20000,10.05, 0.00, 0.00, 458,-275, 733
  1, 5, 65,12.5%, 5, 1, 2,  453131,12.88, 2.47, 1.00,0.512, 20000,23.17, 0.00, 0.00, 458,-316, 774
  1, 5, 70,13.0%, 5, 1, 2,  962707,14.57, 2.53, 0.00,0.521, 20000,10.91, 0.00, 0.00, 458,-335, 793
  1, 5, 77,13.5%, 5, 1, 2,  528428,15.20, 2.80, 2.00,0.542, 20000,19.87, 0.00, 0.00, 458,-373, 831
  1, 5, 63,14.0%, 5, 1, 2,  379412,12.23, 2.22, 0.00,0.528, 20000,27.67, 0.00, 0.00, 458,-394, 852
  1, 5, 70,14.5%, 5, 1, 2,  942625,15.05, 2.33, 0.00,0.546, 20000,11.14, 0.00, 0.00, 458,-410, 868
