EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,199,0.0%, 5, 1, 1, 2196103,39.67, 6.10,40.00,0.420, 20000, 4.78, 0.00, 0.00, 442, 442,   0
  1, 5,193,0.5%, 5, 1, 1, 1947567,38.33, 6.07,35.00,0.420, 20000, 5.39, 0.00, 0.00, 442, 354,  88
  1, 5,176,1.0%, 5, 1, 1, 1679930,34.53, 5.32,27.00,0.443, 20000, 6.25, 0.00, 0.00, 442, 276, 166
  1, 5,166,1.5%, 5, 1, 1, 1596387,32.50, 4.95,25.00,0.441, 20000, 6.58, 0.00, 0.00, 442, 209, 233
  1, 5,147,2.0%, 5, 1, 1, 1358765,28.88, 4.80,19.00,0.461, 20000, 7.73, 0.00, 0.00, 442, 145, 297
  1, 5,136,2.5%, 5, 1, 1, 1190212,26.25, 4.35,13.00,0.465, 20000, 8.82, 0.00, 0.00, 442,  90, 352
  1, 5,118,3.0%, 5, 1, 1, 1188042,23.62, 3.90,11.00,0.487, 20000, 8.84, 0.00, 0.00, 442,  43, 399
  1, 5,127,3.5%, 5, 1, 1, 1341601,25.23, 3.85,15.00,0.480, 20000, 7.83, 0.00, 0.00, 442,  -5, 447
  1, 5,130,4.0%, 5, 1, 1, 1101781,25.75, 4.38,11.00,0.477, 20000, 9.53, 0.00, 0.00, 442, -58, 500
  1, 5,106,4.5%, 5, 1, 1, 1070547,21.80, 3.62, 9.00,0.521, 20000, 9.81, 0.00, 0.00, 442,-103, 545
  1, 5,115,5.0%, 5, 1, 1, 1215464,23.67, 3.95, 6.00,0.533, 20000, 8.64, 0.00, 0.00, 442,-145, 587
  1, 5,121,5.5%, 5, 1, 1, 1309895,24.52, 4.18,11.00,0.500, 20000, 8.02, 0.00, 0.00, 442,-194, 636
  1, 5, 95,6.0%, 5, 1, 1,  690880,18.62, 3.38, 4.00,0.513, 20000,15.20, 0.00, 0.00, 442,-247, 689
  1, 5, 96,6.5%, 5, 1, 1, 1099464,20.12, 3.67, 4.00,0.521, 20000, 9.55, 0.00, 0.00, 442,-274, 716
  1, 5, 93,7.0%, 5, 1, 1, 1050687,19.42, 3.15, 1.00,0.535, 20000, 9.99, 0.00, 0.00, 442,-318, 760
  1, 5,108,7.5%, 5, 1, 1,  860858,21.40, 3.62, 7.00,0.514, 20000,12.20, 0.00, 0.00, 442,-360, 802
  1, 5, 86,8.0%, 5, 1, 1,  966172,17.65, 3.08, 2.00,0.517, 20000,10.87, 0.00, 0.00, 442,-395, 837
  1, 5, 78,8.5%, 5, 1, 1,  596299,15.73, 2.80, 5.00,0.532, 20000,17.61, 0.00, 0.00, 442,-434, 876
  1, 5,101,9.0%, 5, 1, 1, 1206472,21.35, 3.45, 6.00,0.525, 20000, 8.70, 0.00, 0.00, 442,-457, 899
