EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,198,0.0%, 5, 1, 1, 2195085,38.50, 5.93,40.00,0.350, 20000, 4.78, 0.00, 0.00, 127, 127,   0
  1, 5,163,0.5%, 5, 1, 1, 1589971,30.95, 5.00,27.00,0.356, 20000, 6.60, 0.00, 0.00, 127,  39,  88
  1, 5,185,1.0%, 5, 1, 1, 1827676,35.28, 5.72,32.00,0.345, 20000, 5.75, 0.00, 0.00, 127, -24, 151
  1, 5,151,1.5%, 5, 1, 1, 1413829,28.88, 4.80,22.00,0.351, 20000, 7.43, 0.00, 0.00, 127, -97, 224
  1, 5,113,2.0%, 5, 1, 1,  960055,21.05, 3.72,11.00,0.376, 20000,10.94, 0.00, 0.00, 127,-154, 281
  1, 5,128,2.5%, 5, 1, 1, 1230963,24.12, 4.10,15.00,0.359, 20000, 8.53, 0.00, 0.00, 127,-192, 319
  1, 5,130,3.0%, 5, 1, 1, 1153103,25.17, 4.50,15.00,0.387, 20000, 9.11, 0.00, 0.00, 127,-242, 369
  1, 5,116,3.5%, 5, 1, 1,  957073,22.20, 3.90, 9.00,0.418, 20000,10.97, 0.00, 0.00, 127,-288, 415
  1, 5,126,4.0%, 5, 1, 1, 1063731,24.15, 4.28,10.00,0.411, 20000, 9.87, 0.00, 0.00, 127,-326, 453
  1, 5, 92,4.5%, 5, 1, 1,  671735,17.75, 3.28, 5.00,0.459, 20000,15.63, 0.00, 0.00, 127,-369, 496
  1, 5,101,5.0%, 5, 1, 1,  990111,20.12, 3.40, 7.00,0.465, 20000,10.60, 0.00, 0.00, 127,-396, 523
  1, 5, 91,5.5%, 5, 1, 1, 1023080,18.92, 3.33, 6.00,0.467, 20000,10.26, 0.00, 0.00, 127,-435, 562
  1, 5, 89,6.0%, 5, 1, 1,  674217,17.10, 3.17, 5.00,0.433, 20000,15.57, 0.00, 0.00, 127,-476, 603
  1, 5, 78,6.5%, 5, 1, 1,  951171,16.15, 2.75, 5.00,0.474, 20000,11.04, 0.00, 0.00, 127,-503, 630
  1, 5, 82,7.0%, 5, 1, 1,  541342,15.68, 2.58, 2.00,0.500, 20000,19.40, 0.00, 0.00, 127,-542, 669
  1, 5, 90,7.5%, 5, 1, 1,  851027,18.08, 2.97, 3.00,0.500, 20000,12.34, 0.00, 0.00, 127,-563, 690
  1, 5, 81,8.0%, 5, 1, 1,  620430,16.52, 2.83, 3.00,0.485, 20000,16.92, 0.00, 0.00, 127,-597, 724
  1, 5, 84,8.5%, 5, 1, 1,  710587,17.12, 3.00, 5.00,0.449, 20000,14.78, 0.00, 0.00, 127,-622, 749
  1, 5, 83,9.0%, 5, 1, 1,  619239,16.55, 3.12, 3.00,0.473, 20000,16.96, 0.00, 0.00, 127,-651, 778
  1, 5, 89,9.5%, 5, 1, 1,  873102,18.27, 3.62, 6.00,0.463, 20000,12.03, 0.00, 0.00, 127,-676, 803
  1, 5, 96,10.0%, 5, 1, 1,  690318,19.02, 3.30, 2.00,0.492, 20000,15.21, 0.00, 0.00, 127,-711, 838
  1, 5, 90,10.5%, 5, 1, 1, 1086751,18.85, 3.28, 4.00,0.450, 20000, 9.66, 0.00, 0.00, 127,-738, 865
