EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5, 43,0.0%, 5, 1, 3,   95387, 6.18, 1.33, 0.00,0.483, 20000,110.08, 0.00, 0.00, 184, 184,   0
  1, 5, 44,0.5%, 5, 1, 3,   43864, 6.43, 1.38, 0.00,0.528, 20000,239.38, 0.00, 0.00, 184, 180,   4
  1, 5, 56,1.0%, 5, 1, 3,   97756, 8.77, 1.83, 0.00,0.598, 20000,107.41, 0.00, 0.00, 184, 179,   5
  1, 5, 58,1.5%, 5, 1, 3,  107667, 9.43, 2.03, 0.00,0.608, 20000,97.52, 0.00, 0.00, 184, 175,   9
  1, 5, 57,2.0%, 5, 1, 3,   91926, 9.25, 2.08, 0.00,0.610, 20000,114.22, 0.00, 0.00, 184, 170,  14
  1, 5, 59,2.5%, 5, 1, 3,  132940, 9.75, 2.20, 0.00,0.614, 20000,78.98, 0.00, 0.00, 184, 167,  17
  1, 5, 55,3.0%, 5, 1, 3,   94769, 8.95, 1.95, 0.00,0.595, 20000,110.80, 0.00, 0.00, 184, 161,  23
  1, 5, 55,3.5%, 5, 1, 3,   98937, 8.95, 2.03, 0.00,0.582, 20000,106.13, 0.00, 0.00, 184, 157,  27
  1, 5, 52,4.0%, 5, 1, 3,   76101, 8.32, 1.92, 0.00,0.572, 20000,137.97, 0.00, 0.00, 184, 153,  31
  1, 5, 54,4.5%, 5, 1, 3,   93102, 8.75, 2.05, 0.00,0.565, 20000,112.78, 0.00, 0.00, 184, 150,  34
  1, 5, 51,5.0%, 5, 1, 3,  105999, 8.18, 1.92, 0.00,0.554, 20000,99.06, 0.00, 0.00, 184, 146,  38
  1, 5, 49,5.5%, 5, 1, 3,   85216, 7.80, 1.92, 0.00,0.536, 20000,123.22, 0.00, 0.00, 184, 142,  42
  1, 5, 57,6.0%, 5, 1, 3,  150376, 9.20, 2.08, 0.00,0.575, 20000,69.82, 0.00, 0.00, 184, 139,  45
  1, 5, 54,6.5%, 5, 1, 3,   93089, 8.73, 2.05, 0.00,0.560, 20000,112.80, 0.00, 0.00, 184, 133,  51
  1, 5, 53,7.0%, 5, 1, 3,  102449, 8.32, 1.90, 0.00,0.561, 20000,102.49, 0.00, 0.00, 184, 129,  55
  1, 5, 51,7.5%, 5, 1, 3,  114864, 8.05, 1.95, 0.00,0.534, 20000,91.41, 0.00, 0.00, 184, 125,  59
  1, 5, 52,8.0%, 5, 1, 3,  114732, 8.45, 1.92, 0.00,0.558, 20000,91.52, 0.00, 0.00, 184, 120,  64
  1, 5, 55,8.5%, 5, 1, 3,  130442, 8.95, 1.95, 0.00,0.559, 20000,80.50, 0.00, 0.00, 184, 115,  69
  1, 5, 52,9.0%, 5, 1, 3,  112157, 8.43, 2.03, 0.00,0.562, 20000,93.62, 0.00, 0.00, 184, 110,  74
  1, 5, 58,9.5%, 5, 1, 3,  188055,10.18, 2.22, 0.00,0.599, 20000,55.83, 0.00, 0.00, 184, 106,  78
  1, 5, 55,10.0%, 5, 1, 3,  138731, 9.82, 2.12, 0.00,0.623, 20000,75.69, 0.00, 0.00, 184,  98,  86
  1, 5, 61,10.5%, 5, 1, 3,  195620,10.62, 2.35, 0.00,0.578, 20000,53.68, 0.00, 0.00, 184,  93,  91
  1, 5, 58,11.0%, 5, 1, 3,  204001,10.70, 2.30, 0.00,0.616, 20000,51.47, 0.00, 0.00, 184,  85,  99
  1, 5, 50,11.5%, 5, 1, 3,  101129, 8.45, 1.90, 0.00,0.555, 20000,103.83, 0.00, 0.00, 184,  76, 108
  1, 5, 51,12.0%, 5, 1, 3,  152375, 8.60, 2.03, 0.00,0.549, 20000,68.91, 0.00, 0.00, 184,  72, 112
  1, 5, 51,12.5%, 5, 1, 3,  166927, 8.75, 1.98, 0.00,0.534, 20000,62.90, 0.00, 0.00, 184,  66, 118
  1, 5, 49,13.0%, 5, 1, 3,  148356, 8.45, 1.95, 0.00,0.556, 20000,70.78, 0.00, 0.00, 184,  59, 125
  1, 5, 51,13.5%, 5, 1, 3,  123545, 8.48, 1.83, 0.00,0.549, 20000,84.99, 0.00, 0.00, 184,  53, 131
  1, 5, 64,14.0%, 5, 1, 3,  271275,12.25, 2.33, 0.00,0.633, 20000,38.71, 0.00, 0.00, 184,  48, 136
  1, 5, 57,14.5%, 5, 1, 3,  208235,10.77, 2.17, 0.00,0.649, 20000,50.42, 0.00, 0.00, 184,  38, 146
  1, 5, 60,15.0%, 5, 1, 3,  226846,10.85, 2.08, 0.00,0.629, 20000,46.29, 0.00, 0.00, 184,  29, 155
  1, 5, 58,15.5%, 5, 1, 3,  904393,12.25, 2.15, 0.00,0.578, 20000,11.61, 0.00, 0.00, 184,  20, 164
  1, 5, 56,16.0%, 5, 1, 3,  181528,10.00, 2.05, 0.00,0.567, 20000,57.84, 0.00, 0.00, 184, -16, 200
  1, 5, 53,16.5%, 5, 1, 3,  151217, 9.50, 2.20, 0.00,0.608, 20000,69.44, 0.00, 0.00, 184, -23, 207
  1, 5, 60,17.0%, 5, 1, 3, 1242017,13.77, 2.72, 0.00,0.608, 20000, 8.45, 0.00, 0.00, 184, -30, 214
  1, 5, 58,17.5%, 5, 1, 3,  250653,11.12, 2.65, 0.00,0.616, 20000,41.89, 0.00, 0.00, 184, -79, 263
  1, 5, 69,18.0%, 5, 1, 3, 1108545,15.68, 2.83, 1.00,0.587, 20000, 9.47, 0.00, 0.00, 184, -89, 273
  1, 5, 61,18.5%, 5, 1, 3,  249747,11.52, 2.35, 0.00,0.598, 20000,42.04, 0.00, 0.00, 184,-134, 318
  1, 5, 72,19.0%, 5, 1, 3,  391217,14.52, 3.00, 0.00,0.608, 20000,26.84, 0.00, 0.00, 184,-144, 328
  1, 5, 68,19.5%, 5, 1, 3, 1078317,15.25, 3.05, 0.00,0.581, 20000, 9.74, 0.00, 0.00, 184,-159, 343
  1, 5, 68,20.0%, 5, 1, 3,  410540,13.55, 2.88, 0.00,0.610, 20000,25.58, 0.00, 0.00, 184,-203, 387
  1, 5, 63,20.5%, 5, 1, 3,  908849,13.12, 2.45, 1.00,0.532, 20000,11.55, 0.00, 0.00, 184,-219, 403
  1, 5, 51,21.0%, 5, 1, 3,  231286, 9.75, 2.22, 0.00,0.544, 20000,45.40, 0.00, 0.00, 184,-255, 439
  1, 5, 60,21.5%, 5, 1, 3,  313739,11.48, 2.58, 0.00,0.546, 20000,33.47, 0.00, 0.00, 184,-265, 449
  1, 5, 69,22.0%, 5, 1, 3, 1124420,15.18, 2.80, 0.00,0.591, 20000, 9.34, 0.00, 0.00, 184,-277, 461
  1, 5, 57,22.5%, 5, 1, 3,  342450,11.50, 2.45, 0.00,0.575, 20000,30.66, 0.00, 0.00, 184,-322, 506
