EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5, 99,0.0%, 5, 1, 3,  754172,16.73, 3.08, 8.00,0.389, 20000,13.92, 0.00, 0.00,  15,  15,   0
  1, 5, 78,0.5%, 5, 1, 3,  388524,12.82, 2.53, 3.00,0.452, 20000,27.03, 0.00, 0.00,  15, -16,  31
  1, 5, 69,1.0%, 5, 1, 3,  277586,10.77, 2.28, 1.00,0.449, 20000,37.83, 0.00, 0.00,  15, -31,  46
  1, 5, 75,1.5%, 5, 1, 3,  345149,11.77, 2.38, 2.00,0.437, 20000,30.42, 0.00, 0.00,  15, -42,  57
  1, 5, 76,2.0%, 5, 1, 3,  368080,12.32, 2.42, 2.00,0.451, 20000,28.53, 0.00, 0.00,  15, -56,  71
  1, 5, 72,2.5%, 5, 1, 3,  319704,11.93, 2.40, 1.00,0.479, 20000,32.84, 0.00, 0.00,  15, -71,  86
  1, 5, 72,3.0%, 5, 1, 3,  302629,11.75, 2.58, 0.00,0.472, 20000,34.70, 0.00, 0.00,  15, -84,  99
  1, 5, 71,3.5%, 5, 1, 3,  311413,11.57, 2.38, 1.00,0.472, 20000,33.72, 0.00, 0.00,  15, -96, 111
  1, 5, 72,4.0%, 5, 1, 3, 1039269,13.55, 2.40, 0.00,0.503, 20000,10.10, 0.00, 0.00,  15,-108, 123
  1, 5, 71,4.5%, 5, 1, 3,  403298,12.80, 2.38, 3.00,0.458, 20000,26.04, 0.00, 0.00,  15,-150, 165
  1, 5, 65,5.0%, 5, 1, 3, 1032595,13.05, 2.50, 0.00,0.473, 20000,10.17, 0.00, 0.00,  15,-166, 181
  1, 5, 56,5.5%, 5, 1, 3,  213923, 9.40, 2.17, 0.00,0.473, 20000,49.08, 0.00, 0.00,  15,-208, 223
  1, 5, 59,6.0%, 5, 1, 3,  260881,10.43, 2.42, 0.00,0.517, 20000,40.25, 0.00, 0.00,  15,-216, 231
  1, 5, 59,6.5%, 5, 1, 3,  256560,10.30, 2.33, 0.00,0.513, 20000,40.93, 0.00, 0.00,  15,-227, 242
  1, 5, 51,7.0%, 5, 1, 3,  197989, 8.57, 1.95, 0.00,0.510, 20000,53.03, 0.00, 0.00,  15,-237, 252
  1, 5, 58,7.5%, 5, 1, 3,  277836, 9.95, 2.25, 0.00,0.509, 20000,37.79, 0.00, 0.00,  15,-245, 260
  1, 5, 53,8.0%, 5, 1, 3,  196069, 9.02, 2.05, 0.00,0.500, 20000,53.55, 0.00, 0.00,  15,-256, 271
  1, 5, 55,8.5%, 5, 1, 3,  170038, 8.95, 2.00, 0.00,0.527, 20000,61.75, 0.00, 0.00,  15,-264, 279
  1, 5, 58,9.0%, 5, 1, 3,  278109,10.05, 2.22, 1.00,0.500, 20000,37.75, 0.00, 0.00,  15,-271, 286
  1, 5, 59,9.5%, 5, 1, 3,  304477,10.73, 2.17, 1.00,0.547, 20000,34.49, 0.00, 0.00,  15,-282, 297
  1, 5, 59,10.0%, 5, 1, 3,  278425,10.93, 2.28, 0.00,0.547, 20000,37.71, 0.00, 0.00,  15,-294, 309
  1, 5, 54,10.5%, 5, 1, 3,  233990,10.12, 2.10, 0.00,0.579, 20000,44.87, 0.00, 0.00,  15,-306, 321
  1, 5, 53,11.0%, 5, 1, 3,  224206, 9.65, 1.85, 0.00,0.585, 20000,46.83, 0.00, 0.00,  15,-315, 330
  1, 5, 63,11.5%, 5, 1, 3,  287301,11.52, 2.28, 0.00,0.583, 20000,36.55, 0.00, 0.00,  15,-324, 339
  1, 5, 62,12.0%, 5, 1, 3,  289250,11.57, 2.28, 0.00,0.589, 20000,36.30, 0.00, 0.00,  15,-336, 351
  1, 5, 60,12.5%, 5, 1, 3,  935568,12.15, 2.25, 0.00,0.512, 20000,11.22, 0.00, 0.00,  15,-347, 362
  1, 5, 54,13.0%, 5, 1, 3,  270787, 9.95, 2.25, 0.00,0.565, 20000,38.78, 0.00, 0.00,  15,-385, 400
  1, 5, 58,13.5%, 5, 1, 3,  251840,10.40, 2.35, 0.00,0.539, 20000,41.69, 0.00, 0.00,  15,-395, 410
  1, 5, 59,14.0%, 5, 1, 3, 1102547,12.85, 2.20, 0.00,0.572, 20000, 9.52, 0.00, 0.00,  15,-406, 421
  1, 5, 57,14.5%, 5, 1, 3,  318566,10.93, 2.20, 0.00,0.566, 20000,32.96, 0.00, 0.00,  15,-450, 465
  1, 5, 57,15.0%, 5, 1, 3, 1083625,12.55, 2.33, 1.00,0.518, 20000, 9.69, 0.00, 0.00,  15,-463, 478
  1, 5, 55,15.5%, 5, 1, 3,  250244,10.62, 2.12, 0.00,0.564, 20000,41.96, 0.00, 0.00,  15,-506, 521
  1, 5, 66,16.0%, 5, 1, 3,  346966,12.88, 2.45, 0.00,0.576, 20000,30.26, 0.00, 0.00,  15,-516, 531
  1, 5, 64,16.5%, 5, 1, 3,  985391,13.38, 2.50, 0.00,0.484, 20000,10.66, 0.00, 0.00,  15,-530, 545
  1, 5, 63,17.0%, 5, 1, 3,  345122,12.20, 2.72, 0.00,0.512, 20000,30.42, 0.00, 0.00,  15,-569, 584
  1, 5, 63,17.5%, 5, 1, 3, 1017528,13.90, 2.67, 3.00,0.452, 20000,10.32, 0.00, 0.00,  15,-583, 598
  1, 5, 62,18.0%, 5, 1, 3,  359417,12.32, 2.53, 1.00,0.532, 20000,29.21, 0.00, 0.00,  15,-624, 639
  1, 5, 67,18.5%, 5, 1, 3,  531698,14.27, 3.03, 0.00,0.571, 20000,19.75, 0.00, 0.00,  15,-638, 653
  1, 5, 64,19.0%, 5, 1, 3,  410781,12.35, 2.65, 0.00,0.523, 20000,25.56, 0.00, 0.00,  15,-660, 675
  1, 5, 61,19.5%, 5, 1, 3,  391916,12.05, 2.53, 0.00,0.541, 20000,26.79, 0.00, 0.00,  15,-676, 691
  1, 5, 54,20.0%, 5, 1, 3,  348293,11.12, 2.53, 0.00,0.565, 20000,30.15, 0.00, 0.00,  15,-692, 707
  1, 5, 52,20.5%, 5, 1, 3,  310304,10.73, 2.38, 0.00,0.567, 20000,33.84, 0.00, 0.00,  15,-706, 721
  1, 5, 60,21.0%, 5, 1, 3,  433330,12.38, 2.62, 0.00,0.567, 20000,24.23, 0.00, 0.00,  15,-718, 733
  1, 5, 68,21.5%, 5, 1, 3,  438052,13.82, 2.80, 0.00,0.540, 20000,23.97, 0.00, 0.00,  15,-736, 751
  1, 5, 62,22.0%, 5, 1, 3,  369264,12.70, 2.55, 0.00,0.581, 20000,28.43, 0.00, 0.00,  15,-753, 768
  1, 5, 67,22.5%, 5, 1, 3,  452275,13.55, 2.58, 0.00,0.522, 20000,23.22, 0.00, 0.00,  15,-768, 783
  1, 5, 57,23.0%, 5, 1, 3,  664871,11.73, 2.38, 0.00,0.513, 20000,15.79, 0.00, 0.00,  15,-786, 801
  1, 5, 56,23.5%, 5, 1, 3,  313996,11.07, 2.58, 0.00,0.500, 20000,33.44, 0.00, 0.00,  15,-813, 828
  1, 5, 62,24.0%, 5, 1, 3, 1021238,13.55, 2.65, 0.00,0.508, 20000,10.28, 0.00, 0.00,  15,-826, 841
  1, 5, 66,24.5%, 5, 1, 3,  462357,13.25, 2.72, 0.00,0.538, 20000,22.71, 0.00, 0.00,  15,-866, 881
