EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,117,0.0%, 5, 1, 3,  997210,20.67, 3.88,13.00,0.357, 20000,10.53, 0.00, 0.00,  95,  95,   0
  1, 5,103,0.5%, 5, 1, 3,  716397,17.75, 3.65,10.00,0.359, 20000,14.66, 0.00, 0.00,  95,  55,  40
  1, 5,103,1.0%, 5, 1, 3,  723206,18.08, 3.83, 8.00,0.354, 20000,14.52, 0.00, 0.00,  95,  27,  68
  1, 5,113,1.5%, 5, 1, 3,  808342,19.60, 3.80, 8.00,0.352, 20000,12.99, 0.00, 0.00,  95,  -2,  97
  1, 5, 97,2.0%, 5, 1, 3,  793108,17.10, 3.22, 3.00,0.394, 20000,13.24, 0.00, 0.00,  95, -35, 130
  1, 5, 94,2.5%, 5, 1, 3, 1130990,17.73, 3.20, 4.00,0.386, 20000, 9.28, 0.00, 0.00,  95, -67, 162
  1, 5, 92,3.0%, 5, 1, 3,  566187,15.93, 3.22, 3.00,0.413, 20000,18.55, 0.00, 0.00,  95,-112, 207
  1, 5,114,3.5%, 5, 1, 3, 1397585,21.65, 3.92, 6.00,0.371, 20000, 7.51, 0.00, 0.00,  95,-135, 230
  1, 5, 83,4.0%, 5, 1, 3, 1043505,15.25, 2.90, 2.00,0.419, 20000,10.06, 0.00, 0.00,  95,-191, 286
  1, 5, 86,4.5%, 5, 1, 3,  523627,14.75, 3.25, 1.00,0.395, 20000,20.05, 0.00, 0.00,  95,-232, 327
  1, 5, 78,5.0%, 5, 1, 3,  488024,13.62, 2.47, 1.00,0.413, 20000,21.52, 0.00, 0.00,  95,-253, 348
  1, 5, 70,5.5%, 5, 1, 3,  398947,12.27, 2.53, 0.00,0.436, 20000,26.32, 0.00, 0.00,  95,-273, 368
  1, 5, 75,6.0%, 5, 1, 3,  443839,13.18, 2.60, 2.00,0.413, 20000,23.66, 0.00, 0.00,  95,-289, 384
  1, 5, 68,6.5%, 5, 1, 3,  348802,11.95, 2.38, 0.00,0.441, 20000,30.10, 0.00, 0.00,  95,-307, 402
  1, 5, 62,7.0%, 5, 1, 3,  290174,11.05, 2.47, 1.00,0.448, 20000,36.19, 0.00, 0.00,  95,-321, 416
  1, 5, 79,7.5%, 5, 1, 3,  849489,15.50, 2.75, 1.00,0.411, 20000,12.36, 0.00, 0.00,  95,-332, 427
  1, 5, 77,8.0%, 5, 1, 3,  464125,14.05, 2.55, 0.00,0.448, 20000,22.62, 0.00, 0.00,  95,-366, 461
  1, 5, 79,8.5%, 5, 1, 3, 1033600,16.20, 2.88, 1.00,0.462, 20000,10.16, 0.00, 0.00,  95,-385, 480
  1, 5, 75,9.0%, 5, 1, 3,  464624,14.02, 2.95, 1.00,0.473, 20000,22.60, 0.00, 0.00,  95,-426, 521
  1, 5, 69,9.5%, 5, 1, 3,  992661,14.15, 2.67, 0.00,0.464, 20000,10.58, 0.00, 0.00,  95,-445, 540
  1, 5, 53,10.0%, 5, 1, 3,  292572,10.23, 1.95, 0.00,0.533, 20000,35.89, 0.00, 0.00,  95,-485, 580
  1, 5, 63,10.5%, 5, 1, 3,  991993,13.02, 2.33, 0.00,0.472, 20000,10.58, 0.00, 0.00,  95,-497, 592
  1, 5, 74,11.0%, 5, 1, 3,  414041,14.02, 3.05, 0.00,0.463, 20000,25.36, 0.00, 0.00,  95,-536, 631
  1, 5, 64,11.5%, 5, 1, 3,  991148,13.82, 2.47, 0.00,0.484, 20000,10.59, 0.00, 0.00,  95,-553, 648
  1, 5, 73,12.0%, 5, 1, 3,  484529,13.95, 2.70, 1.00,0.469, 20000,21.67, 0.00, 0.00,  95,-593, 688
  1, 5, 63,12.5%, 5, 1, 3,  374693,11.80, 2.10, 2.00,0.480, 20000,28.02, 0.00, 0.00,  95,-612, 707
  1, 5, 59,13.0%, 5, 1, 3,  892961,12.35, 2.28, 0.00,0.504, 20000,11.76, 0.00, 0.00,  95,-627, 722
  1, 5, 66,13.5%, 5, 1, 3,  340739,11.80, 2.30, 0.00,0.466, 20000,30.82, 0.00, 0.00,  95,-663, 758
  1, 5, 72,14.0%, 5, 1, 3, 1114854,14.98, 2.80, 1.00,0.451, 20000, 9.42, 0.00, 0.00,  95,-677, 772
  1, 5, 63,14.5%, 5, 1, 3,  411282,12.43, 2.58, 0.00,0.472, 20000,25.53, 0.00, 0.00,  95,-721, 816
  1, 5, 69,15.0%, 5, 1, 3,  958973,13.95, 2.62, 2.00,0.428, 20000,10.95, 0.00, 0.00,  95,-738, 833
