EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5,125,0.0%, 5, 1, 2, 1022459,21.95, 4.05,11.00,0.374, 20000,10.27, 0.00, 0.00,  33,  33,   0
  1, 5,132,0.5%, 5, 1, 2,  949898,22.88, 4.45, 9.00,0.386, 20000,11.05, 0.00, 0.00,  33,  -8,  41
  1, 5,133,1.0%, 5, 1, 2,  968381,23.62, 4.50, 9.00,0.400, 20000,10.84, 0.00, 0.00,  33, -46,  79
  1, 5,118,1.5%, 5, 1, 2,  928073,21.23, 3.83, 5.00,0.458, 20000,11.31, 0.00, 0.00,  33, -85, 118
  1, 5,125,2.0%, 5, 1, 2, 1300301,23.15, 4.15, 7.00,0.412, 20000, 8.08, 0.00, 0.00,  33,-122, 155
  1, 5, 98,2.5%, 5, 1, 2,  754463,18.05, 3.53,10.00,0.375, 20000,13.92, 0.00, 0.00,  33,-174, 207
  1, 5,114,3.0%, 5, 1, 2, 1206860,21.10, 3.78, 5.00,0.417, 20000, 8.70, 0.00, 0.00,  33,-204, 237
  1, 5, 97,3.5%, 5, 1, 2, 1035667,18.12, 3.33, 1.00,0.469, 20000,10.14, 0.00, 0.00,  33,-252, 285
  1, 5, 78,4.0%, 5, 1, 2,  443046,14.40, 2.90, 0.00,0.516, 20000,23.70, 0.00, 0.00,  33,-294, 327
  1, 5, 74,4.5%, 5, 1, 2, 1108348,14.77, 2.55, 1.00,0.517, 20000, 9.47, 0.00, 0.00,  33,-312, 345
  1, 5, 97,5.0%, 5, 1, 2,  660991,17.73, 3.45, 2.00,0.454, 20000,15.89, 0.00, 0.00,  33,-356, 389
  1, 5, 88,5.5%, 5, 1, 2, 1092860,17.73, 3.47, 2.00,0.466, 20000, 9.61, 0.00, 0.00,  33,-382, 415
  1, 5, 88,6.0%, 5, 1, 2, 1125666,18.27, 3.42, 3.00,0.474, 20000, 9.33, 0.00, 0.00,  33,-426, 459
  1, 5, 91,6.5%, 5, 1, 2,  573896,16.48, 3.03, 1.00,0.440, 20000,18.30, 0.00, 0.00,  33,-471, 504
  1, 5, 88,7.0%, 5, 1, 2, 1107004,17.58, 3.33, 2.00,0.469, 20000, 9.49, 0.00, 0.00,  33,-494, 527
  1, 5, 76,7.5%, 5, 1, 2,  424788,14.07, 2.92, 2.00,0.526, 20000,24.72, 0.00, 0.00,  33,-539, 572
  1, 5, 92,8.0%, 5, 1, 2, 1228245,18.88, 3.12, 3.00,0.470, 20000, 8.55, 0.00, 0.00,  33,-556, 589
  1, 5, 79,8.5%, 5, 1, 2,  546124,15.12, 2.83, 0.00,0.491, 20000,19.23, 0.00, 0.00,  33,-605, 638
  1, 5, 69,9.0%, 5, 1, 2,  904147,14.05, 2.62, 0.00,0.486, 20000,11.61, 0.00, 0.00,  33,-627, 660
  1, 5, 72,9.5%, 5, 1, 2,  441830,14.20, 2.60, 0.00,0.517, 20000,23.76, 0.00, 0.00,  33,-663, 696
  1, 5, 75,10.0%, 5, 1, 2, 1182249,16.10, 2.97, 2.00,0.513, 20000, 8.88, 0.00, 0.00,  33,-681, 714
  1, 5, 62,10.5%, 5, 1, 2,  414506,12.18, 2.40, 1.00,0.528, 20000,25.33, 0.00, 0.00,  33,-728, 761
  1, 5, 72,11.0%, 5, 1, 2,  955965,14.90, 2.88, 1.00,0.507, 20000,10.98, 0.00, 0.00,  33,-745, 778
  1, 5, 64,11.5%, 5, 1, 2,  361544,12.25, 2.42, 0.00,0.535, 20000,29.04, 0.00, 0.00,  33,-783, 816
  1, 5, 69,12.0%, 5, 1, 2, 1026619,14.40, 2.42, 0.00,0.514, 20000,10.23, 0.00, 0.00,  33,-797, 830
  1, 5, 60,12.5%, 5, 1, 2,  431698,12.15, 2.35, 0.00,0.542, 20000,24.32, 0.00, 0.00,  33,-839, 872
