EDEC,N,iteration,Loss,sprd,fm,bvn,ttc,m,dm,fail,rrate,pl,ratio,dd,ad,w,t,c
  1, 5, 99,0.0%, 5, 1, 1, 2343976,38.75, 6.15,20.00,0.321, 20000, 4.48, 0.00, 0.00, 120, 120,   0
  1, 5, 93,0.5%, 5, 1, 1, 1925097,37.10, 5.85,18.00,0.366, 20000, 5.45, 0.00, 0.00, 120,  73,  47
  1, 5, 88,1.0%, 5, 1, 1, 1754452,34.15, 5.70,15.00,0.381, 20000, 5.98, 0.00, 0.00, 120,  34,  86
  1, 5, 85,1.5%, 5, 1, 1, 1642102,32.50, 5.50,12.00,0.350, 20000, 6.39, 0.00, 0.00, 120,  -1, 121
  1, 5, 65,2.0%, 5, 1, 1, 1082234,24.35, 4.35, 5.00,0.404, 20000, 9.70, 0.00, 0.00, 120, -34, 154
  1, 5, 53,2.5%, 5, 1, 1,  842580,19.85, 3.45, 5.00,0.443, 20000,12.46, 0.00, 0.00, 120, -56, 176
  1, 5, 36,3.0%, 5, 1, 1,  484338,13.15, 2.25, 2.00,0.458, 20000,21.68, 0.00, 0.00, 120, -72, 192
  1, 5, 34,3.5%, 5, 1, 1,  728620,13.60, 2.20, 1.00,0.493, 20000,14.41, 0.00, 0.00, 120, -82, 202
  1, 5, 31,4.0%, 5, 1, 1,  419304,11.90, 1.95, 1.00,0.508, 20000,25.04, 0.00, 0.00, 120, -97, 217
  1, 5, 51,4.5%, 5, 1, 1,  797974,18.95, 3.30, 2.00,0.422, 20000,13.16, 0.00, 0.00, 120,-105, 225
  1, 5, 57,5.0%, 5, 1, 1, 1700977,23.20, 3.85, 3.00,0.425, 20000, 6.17, 0.00, 0.00, 120,-121, 241
  1, 5, 57,5.5%, 5, 1, 1,  902146,22.20, 3.85, 2.00,0.452, 20000,11.64, 0.00, 0.00, 120,-155, 275
  1, 5, 51,6.0%, 5, 1, 1,  785247,20.15, 3.50, 3.00,0.480, 20000,13.37, 0.00, 0.00, 120,-173, 293
  1, 5, 54,6.5%, 5, 1, 1, 1518271,23.00, 4.00, 2.00,0.454, 20000, 6.92, 0.00, 0.00, 120,-189, 309
  1, 5, 55,7.0%, 5, 1, 1,  996418,22.30, 3.55, 4.00,0.441, 20000,10.54, 0.00, 0.00, 120,-219, 339
  1, 5, 46,7.5%, 5, 1, 1,  704395,17.70, 3.15, 2.00,0.440, 20000,14.91, 0.00, 0.00, 120,-239, 359
  1, 5, 42,8.0%, 5, 1, 1, 1322420,17.90, 3.25, 1.00,0.423, 20000, 7.94, 0.00, 0.00, 120,-254, 374
  1, 5, 43,8.5%, 5, 1, 1,  667557,17.25, 2.90, 2.00,0.465, 20000,15.73, 0.00, 0.00, 120,-280, 400
  1, 5, 34,9.0%, 5, 1, 1,  449654,13.80, 2.40, 0.00,0.478, 20000,23.35, 0.00, 0.00, 120,-293, 413
  1, 5, 28,9.5%, 5, 1, 1,  395445,11.55, 2.10, 1.00,0.536, 20000,26.55, 0.00, 0.00, 120,-303, 423
  1, 5, 35,10.0%, 5, 1, 1, 1382749,16.05, 2.55, 1.00,0.536, 20000, 7.59, 0.00, 0.00, 120,-310, 430
  1, 5, 31,10.5%, 5, 1, 1,  368136,12.25, 2.15, 0.00,0.565, 20000,28.52, 0.00, 0.00, 120,-338, 458
  1, 5, 36,11.0%, 5, 1, 1,  431329,14.00, 2.35, 0.00,0.549, 20000,24.34, 0.00, 0.00, 120,-346, 466
  1, 5, 32,11.5%, 5, 1, 1,  385552,12.40, 2.20, 0.00,0.539, 20000,27.23, 0.00, 0.00, 120,-354, 474
